Year,Month,Day,MaxTemp (F),MinTemp (F)
2018,2,22,84,71
2018,2,23,83,70
2018,2,24,82,70
2018,2,25,84,69
2018,2,26,83,63
2018,2,27,85,64
2018,2,28,82,64
2018,3,1,85,61
2018,3,2,88,60
2018,3,3,80,58
2018,3,4,78,56
2018,3,5,77,55
2018,3,6,79,51
2018,3,7,84,62
2018,3,8,74,50
2018,3,9,73,52
2018,3,10,76,54
2018,3,11,87,68
2018,3,12,78,52
2018,3,13,75,50
2018,3,14,74,50
2018,3,15,77,45
2018,3,16,79,50
2018,3,17,83,55
2018,3,18,88,60
2018,3,19,90,63
2018,3,20,90,69
2018,3,21,82,56
2018,3,22,75,49
2018,3,23,79,47
2018,3,24,78,50
2018,3,25,83,57
2018,3,26,85,63
2018,3,27,78,66
2018,3,28,80,68
2018,3,29,82,71
2018,3,30,84,67
2018,3,31,85,63
2018,4,1,85,65
2018,4,2,85,64
2018,4,3,85,68
2018,4,4,86,65
2018,4,5,86,62
2018,4,6,86,65
2018,4,7,89,63
2018,4,8,91,68
2018,4,9,92,66
2018,4,10,94,70
2018,4,11,88,65
2018,4,12,85,61
2018,4,13,85,68
2018,4,14,89,63
2018,4,15,89,72
2018,4,16,83,60
2018,4,17,83,57
2018,4,18,83,57
2018,4,19,86,59
2018,4,20,91,62
2018,4,21,88,67
2018,4,22,89,71
2018,4,23,88,74
2018,4,24,94,72
2018,4,25,90,64
2018,4,26,85,62
2018,4,27,84,67
2018,4,28,88,67
2018,4,29,86,61
2018,4,30,85,69
2018,5,1,85,70
2018,5,2,86,72
2018,5,3,86,75
2018,5,4,86,72
2018,5,5,86,70
2018,5,6,90,71
2018,5,7,92,68
2018,5,8,89,73
2018,5,9,87,66
2018,5,10,86,64
2018,5,11,87,69
2018,5,12,81,74
2018,5,13,81,72
2018,5,14,86,71
2018,5,15,87,70
2018,5,16,88,70
2018,5,17,82,73
2018,5,18,88,72
2018,5,19,80,71
2018,5,20,81,72
2018,5,21,82,74
2018,5,22,84,77
2018,5,23,87,75
2018,5,24,87,76
2018,5,25,81,74
2018,5,26,79,72
2018,5,27,85,75
2018,5,28,82,75
2018,5,29,87,75
2018,5,30,89,77
2018,5,31,87,75
2018,6,1,88,72
2018,6,2,92,71
2018,6,3,93,73
2018,6,4,95,74
2018,6,5,94,75
2018,6,6,94,74
2018,6,7,91,73
2018,6,8,90,73
2018,6,9,87,72
2018,6,10,88,74
2018,6,11,87,72
2018,6,12,89,73
2018,6,13,89,75
2018,6,14,90,72
2018,6,15,90,72
2018,6,16,91,73
