DHI (w/m2),DNI (w/m2),Wind Speed (m/s),Relative Humidity (%),Pressure (mbar)
60,197,5.2,77.18,1020
61,231,4.2,78.78,1020
70,215,2,71.77,1015
33,330,2.4,77.21,1010
39,298,3.3,77.48,1010
46,225,4.6,79.54,1010
46,278,8.3,86.65,1004
61,161,10.2,79.01,1000
35,337,5.3,77.66,1008
30,364,2.8,80.53,1010
45,283,3.7,84.61,1010
66,223,3.1,82.75,1010
48,282,4.2,65.31,1012
25,272,5.1,87.04,1015
47,302,3.6,74.85,1020
46,310,3.1,67.05,1020
68,239,2.6,77.76,1020
82,195,2.7,85.36,1019
66,184,2.1,85.77,1017
72,195,3,82.84,1018
40,324,2.5,75.62,1017
72,221,4.8,80.96,1015
58,227,4.5,83.59,1010
38,337,2.7,87.42,1010
60,224,4.5,88.12,1012
42,335,6.9,72.99,1020
38,347,4.1,74.27,1020
56,303,2.5,72.18,1018
51,305,2.7,74.97,1010
67,258,3.1,82.38,1010
74,225,6.6,84.49,1010
91,152,6,82.32,1010
78,227,3.1,72.29,1010
104,154,3.4,81.75,1010
81,208,3.3,89,1010
56,288,3.9,78.05,1010
99,132,4.5,73.91,1010
35,17,5.8,83.37,1002
61,294,4.1,75.83,1000
60,240,2.5,85.9,1002
45,328,3,84.27,1010
67,286,5.3,84.01,1012
98,177,5.6,82.89,1020
73,270,5.9,84.98,1020
55,308,4.7,83.22,1015
109,113,3.5,83.68,1010
86,153,7.9,84.38,1018
93,212,9.2,67.78,1020
91,205,9.7,66.68,1020
113,128,8.4,66.54,1020
69,287,6.2,72.36,1020
52,338,4.4,73.22,1020
73,255,3.5,71.67,1020
68,274,1.7,69.45,1013
99,180,3.8,77.65,1010
93,139,2.4,74.59,1010
85,245,4.4,78.64,1010
111,177,7.1,80.36,1010
48,356,6.4,67.78,1018
45,379,5.3,62.63,1020
99,236,5.5,67.79,1020
59,312,3.1,64.95,1020
45,371,4.7,73.82,1017
70,312,4.9,68.12,1017
55,350,3.2,63.07,1016
55,345,1.7,64.05,1012
99,217,5.1,82.3,1018
127,92,8.1,81.19,1020
114,219,6.3,77.33,1017
122,156,5.5,76.82,1010
108,250,3.9,74.8,1010
56,344,1.9,72.98,1010
47,372,2.8,72.98,1010
73,283,4.5,70.87,1010
96,248,5.5,76.3,1010
93,254,2.2,79.65,1010
119,143,3.4,82.57,1010
79,290,5.9,80.32,1010
84,286,5.2,78.96,1010
103,218,5,85.74,1010
138,138,6.2,82.82,1010
50,390,6.5,57.77,1010
54,383,3,48.35,1010
108,181,4.6,62.95,1012
112,190,6.3,66.94,1018
111,218,6.5,66.75,1018
97,208,6.1,79.12,1011
64,347,6.2,74.72,1013
107,260,6.5,72.9,1015
110,206,7.8,75.67,1019
121,215,6.4,73.91,1019
109,52,5.4,78.66,1012
108,213,6,75.69,1013
107,161,6.2,77.14,1015
110,178,6.2,75.42,1011
138,157,6,68.75,1010
105,133,6.1,82,1010
69,35,4.5,95.43,1001
90,292,5.1,84.04,1000
52,402,4.5,68.98,1008
61,371,3.2,75.16,1010
124,216,4,85.12,1010
80,320,5.7,85.96,1010
100,274,7.5,79.64,1011
136,171,7.8,78.08,1010
153,116,6.3,81.55,1010
127,138,3.9,81.57,1010
87,311,3.5,81.19,1010
75,287,3.4,78.69,1010
116,85,6.9,83.92,1002
67,377,5.6,62.7,1010
55,407,2.5,58.4,1010
56,401,2,59.15,1010
66,370,2.3,64.4,1010
78,345,1.9,67.56,1010
58,390,2.5,69.4,1010
83,337,3.4,73.84,1010
100,281,5.6,74.02,1010
134,129,4.7,81.22,1010
59,372,2.4,79.05,1010
72,326,4.8,80.9,1010
111,250,7.2,80.86,1010
111,188,7.4,84.55,1010
126,209,7,83.58,1010
79,329,6.1,78.43,1010
57,384,4.3,77.34,1010
56,382,3.6,74.51,1010
77,324,4.8,76.98,1010
128,204,6.4,82.71,1010
137,59,6,86.78,1010
100,242,1.8,82.19,1010
95,296,2.1,77.57,1010
71,350,2.7,69.05,1010
115,210,2.4,72.52,1010
83,256,3.5,75.57,1010
87,257,3.9,75.38,1010
129,219,3.2,81.61,1010
150,42,3.4,87.4,1010
115,58,2.5,87.32,1010
143,46,3.4,81.89,1010
143,76,3.7,85.22,1010
103,61,4.3,96.23,1010
102,33,5.7,95.65,1008
128,143,6.2,92.26,1004
127,77,2.5,89.61,1010
